run,run_id,job_index,agent_id,cell,model,effort,trial,item,model_verified,model_id,duration_s,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,tool_uses,started,ended,result_json,prompt_chars,mapping
finder-main,wf_c319bcab-229,0,ae9c5e9f2624254dd,haiku:low,haiku,low,0,s6_leak,True,claude-haiku-4-5-20251001,40.6,18,2916,33697,37130,2,2026-07-14T19:01:43.443Z,2026-07-14T19:02:24.033Z,"{""file"": ""<WORKTREE>/crates/aether-capabilities/src/render/runtime/texture.rs"", ""lens"": ""Correctness"", ""findings"": [{""symbol"": ""StagedTexture::apply_subrect / line 41"", ""line"": 41, ""category"": ""invariant_violation"", ""severity"": ""medium"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""self.dirty = true; placed before bounds and pixel-length validation (lines 42-45)"", ""suggested_form"": ""Move self.dirty = true; to after the bounds/length check succeeds, either to line 55 (after the copy loop, where it was originally) or inline after line 45's validation passes"", ""rationale"": ""The docstring (lines 31–36) documents that apply_subrect returns false without touching the staged pixels if validation fails. Setting dirty=true before validating bounds and pixel length violates this invariant: if the bounds check at line 44 fails and we return false, dirty is now true despite the staging buffer being unchanged. This causes ensure_realized (line 67) to unnecessarily re-upload unchanged pixels to the GPU on the next record. The dirty flag's semantic contract is 'staging buffer has been modified since last GPU sync'; moving it after all validation preserves this invariant.""}], ""lintCandidates"": []}",6197,order-inferred(effort)
finder-main,wf_c319bcab-229,1,af46eb8985d5b7fe6,haiku:low,haiku,low,0,s5_bounds_order,True,claude-haiku-4-5-20251001,122.3,26,9417,82990,56528,3,2026-07-14T19:01:43.511Z,2026-07-14T19:03:45.784Z,"{""file"": ""<WORKTREE>/crates/aether-codec/src/decode.rs"", ""lens"": ""correctness"", ""findings"": [{""symbol"": ""decode_wire_value, Vec arm"", ""line"": 334, ""category"": ""semantic-correctness"", ""severity"": ""medium"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""let mut arr = Vec::with_capacity(len.min(cur.bytes.len()));"", ""suggested_form"": ""let mut arr = Vec::with_capacity(len.min(cur.remaining()));"", ""rationale"": ""The capacity hint must reflect the actual available bytes to decode, not the total buffer length. The comment explicitly states \""clamp the pre-allocation against the bytes that remain\"" and references `remaining()`. When cursor position > 0, `cur.bytes.len()` (total length) exceeds the remaining bytes available. For example, at position 90 in a 100-byte buffer, using `bytes.len()` hints 100 instead of the correct 10 bytes remaining. The Map arm at line 378 correctly uses `cur.remaining()` with an identical capacity clamping pattern, confirming the intended behavior. Using the wrong value violates the semantic correctness of the capacity planning.""}], ""lintCandidates"": []}",5093,order-inferred(effort)
finder-main,wf_c319bcab-229,2,abe4fb464d2954043,haiku:low,haiku,low,0,s3_off_by_one,True,claude-haiku-4-5-20251001,92.3,18,7741,33524,39373,2,2026-07-14T19:01:43.566Z,2026-07-14T19:03:15.870Z,"{""file"": ""<WORKTREE>/crates/aether-capabilities/src/text/runtime/atlas.rs"", ""lens"": ""Correctness"", ""findings"": [{""symbol"": ""Atlas::pack / line 211"", ""line"": 211, ""category"": ""invariant-violation"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""self.shelf_height = self.shelf_height.max(height);"", ""suggested_form"": ""self.shelf_height = self.shelf_height.max(padded_height);"", ""rationale"": ""The documented invariant (lines 26-27) requires a transparent-pixel gutter between glyphs to prevent bilinear texture bleeding. The shelf packer checks for vertical space using padded_height (line 206) but now only reserves unpadded height, allowing adjacent-shelf glyphs to violate the spacing requirement. Glyphs in shelf N and shelf N+1 can now be vertically adjacent without the required transparent gutter, causing the bilinear sampler to bleed coverage at boundaries.""}], ""lintCandidates"": []}",5423,order-inferred(effort)
finder-main,wf_c319bcab-229,3,aec6ad79644c144b3,haiku:low,haiku,low,0,s4_silent_noop,True,claude-haiku-4-5-20251001,66.6,18,4342,33531,43502,3,2026-07-14T19:01:43.625Z,2026-07-14T19:02:50.208Z,"{""file"": ""crates/aether-capabilities/src/trace/walk.rs"", ""lens"": ""correctness"", ""findings"": [{""symbol"": ""TreeWalk::absorb"", ""line"": 89, ""category"": ""silent-incompleteness"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""if let TraceEvent::Sent { recipient, .. } = entry.event {\n    if self.visited.contains(&recipient) {\n        continue;\n    }\n    self.frontier.push_back(recipient);\n}\nself.collected.push(entry);"", ""suggested_form"": ""if let TraceEvent::Sent { recipient, .. } = entry.event {\n    if !self.visited.contains(&recipient) {\n        self.frontier.push_back(recipient);\n    }\n}\nself.collected.push(entry);"", ""rationale"": ""The `continue` statement at line 90 skips to the next loop iteration when a Sent event's recipient is already visited, which prevents `self.collected.push(entry)` from executing. This causes silent data loss: entries are dropped from the collected trace set. The original code always added entries to `self.collected` regardless of visited status. When a Sent event references a previously-visited mailbox (possible in circular or cross-linked traces), the entry should still be collected—only the frontier-enqueue should be conditional. The fix inverts the conditional to avoid the continue, preserving the original semantics: collect all entries, but only enqueue unvisited recipients.""}], ""lintCandidates"": []}",5589,order-inferred(effort)
finder-main,wf_c319bcab-229,4,ac70eaf5f89ec60f7,haiku:low,haiku,low,0,s1_swallowed_error,True,claude-haiku-4-5-20251001,92.0,18,7551,34153,44444,2,2026-07-14T19:01:43.706Z,2026-07-14T19:03:15.720Z,"{""file"": ""crates/aether-capabilities/src/audio/runtime/handlers.rs"", ""lens"": ""correctness"", ""findings"": [{""symbol"": ""handle_schedule (line 137)"", ""line"": 137, ""category"": ""swallowed-error"", ""severity"": ""medium"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""let _ = sender.push(ev);"", ""suggested_form"": ""if sender.push(ev).is_err() { return ScheduleResult::Err { error: \""audio event queue full — schedule dropped\"".to_owned() }; }"", ""rationale"": ""The function's return type includes error variants, and the original code explicitly reported queue-full conditions to the caller. The change silently discards the error and always returns Ok, violating the function's contract: a caller expecting ScheduleResult::Err on queue full now receives Ok instead, losing critical error information. This represents an undocumented behavior change.""}], ""lintCandidates"": []}",7508,order-inferred(effort)
finder-main,wf_c319bcab-229,5,a9cdae9f39aead5ab,haiku:low,haiku,low,0,r2_fuel_order,True,claude-haiku-4-5-20251001,81.1,24,6256,121467,14615,4,2026-07-14T19:01:43.733Z,2026-07-14T19:03:04.787Z,"{""file"": ""crates/aether-behavior/src/host/slot.rs"", ""lens"": ""correctness"", ""findings"": [{""symbol"": ""ScriptSlot::offer_state / line 204"", ""line"": 204, ""category"": ""correctness"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""let _ = self.store.set_fuel(self.fuel_per_call);"", ""suggested_form"": ""if self.store.set_fuel(self.fuel_per_call).is_err() {\n            return;\n        }"", ""rationale"": ""set_fuel() returns a Result that can fail, and failure prevents fuel metering of the subsequent guest code. This is a SWALLOWED ERROR. The parallel method save_state (line 177) explicitly checks this result and returns early; filter_inner (line 233) propagates the error as FaultReason::FuelSetFailed. Silently discarding the error violates the metering contract: unmetered guest code can wedge the host. Fail-open semantics require leaving the script untouched on failure, not proceeding with unmetered execution.""}], ""lintCandidates"": []}",4020,order-inferred(effort)
finder-main,wf_c319bcab-229,6,a341c0a161458739f,haiku:low,haiku,low,0,r1_config_cap,True,claude-haiku-4-5-20251001,111.0,10,6526,0,33515,2,2026-07-14T19:01:43.778Z,2026-07-14T19:03:34.751Z,"{""file"": ""<WORKTREE>/crates/aether-mcp/src/tools/components.rs"", ""lens"": ""Correctness"", ""findings"": [], ""lintCandidates"": []}",5532,order-inferred(effort)
finder-main,wf_c319bcab-229,7,a2ed14708000eb3fb,haiku:low,haiku,low,0,s8_pan_law,True,claude-haiku-4-5-20251001,147.9,8,2541,34019,19736,2,2026-07-14T19:01:43.829Z,2026-07-14T19:04:11.775Z,"{""file"": ""<WORKTREE>/crates/aether-capabilities/src/audio/runtime/voice.rs"", ""lens"": ""Correctness"", ""findings"": [], ""lintCandidates"": []}",6397,order-inferred(effort)
finder-main,wf_c319bcab-229,8,a9d7edb3e6f6a489b,haiku:low,haiku,low,0,s7_ewma,True,claude-haiku-4-5-20251001,58.3,18,5093,33726,38660,2,2026-07-14T19:01:43.866Z,2026-07-14T19:02:42.163Z,"{""file"": ""<WORKTREE>/crates/aether-capabilities/src/lifecycle/runtime/settlement.rs"", ""lens"": ""correctness"", ""findings"": [{""symbol"": ""LifecycleCapabilityState::record_settlement_latency (else branch, line 101)"", ""line"": 101, ""category"": ""correctness"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""sample_nanos + (prev_nanos - sample_nanos) * alpha / 1000"", ""suggested_form"": ""prev_nanos - (prev_nanos - sample_nanos) * alpha / 1000"", ""rationale"": ""The documented formula on line 93 is `next = prev ± α·|sample − prev|`. When sample < prev, this requires `next = prev - α(prev - sample)`. The new code inverts the weight coefficients: it assigns 80% weight to sample and 20% to prev (for α=200), whereas the documented formula and original implementation assigned 20% to sample and 80% to prev. This breaks the EWMA smoothing semantics and makes the settlement latency filter respond 4× more aggressively to samples than intended, contradicting the design intent.""}], ""lintCandidates"": []}",6227,order-inferred(effort)
finder-main,wf_c319bcab-229,9,aa36dd49b4b22404c,haiku:low,haiku,low,0,s2_unwrap,True,claude-haiku-4-5-20251001,20.8,18,1506,33449,40063,2,2026-07-14T19:01:43.876Z,2026-07-14T19:02:04.710Z,"{""file"": ""<REPO>/crates/aether-codec/src/frame.rs"", ""lens"": ""Correctness"", ""findings"": [{""symbol"": ""read_frame::<R, T> / line 169"", ""line"": 169, ""category"": ""swallowed-error"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""r.read_exact(&mut prefix_buf).unwrap();"", ""suggested_form"": ""r.read_exact(&mut prefix_buf)?;"", ""rationale"": ""The original code propagated I/O errors via `?` to return them as `FrameError::Io`. The new code panics on any I/O error (connection closed, truncated stream, etc.) instead of returning the error to the caller. This violates the function's contract (`Result<T, FrameError>`) and crashes the process rather than failing gracefully. The function is public and used in the codec layer; I/O errors are expected and must be recoverable.""}], ""lintCandidates"": []}",5239,order-inferred(effort)
